"Hull","Name","Name (Hull)","Ship Alt Title","Ship Type","Class","UIC","Status","Fleet","Date Status Last Changed","Homeport","Maintenance Category","Berth","Force","Builder","Award Date","Commission Date","Keel Date","Inactivation Date","Launch Date","Decommission Date","Delivery Date","InService Date","Out Service Date","Stricken Date","Overall Length","Waterline Length","Extreme Beam","Waterline Beam","Max Navigational Draft","Draft Limit","Light Displacement","Full Displacement","Dead Weight","Hull Material","No. of Propellers","No. of Waterjets","Propulsion Type","Accommodations Officers","Accommodations Enlisted","Custodian","Planning Yard","Nuclear Planning Yard","Ships Program Manager","Comments","Last Updated"
"AK 3003","1ST LT ALEX BONNYMAN","1ST LT ALEX BONNYMAN (AK 3003)","(ex - EMILIE MAERSK)","CARGO SHIP","AK 3000","21585","Disposed of by return to owner","","07/15/2009","","","","","","","","","","","","","","","","755 ft","","90 ft","","33 ft","","23365 tons","44088 tons","20723 tons","","1","","Diesel","","","","","","","","02/22/2011"
"T-AK 3010","1ST LT BALDOMERO LOPEZ","USNS 1ST LT BALDOMERO LOPEZ (T-AK 3010)","","CARGO SHIP","AK 3008","21512","Military Sealift Command (MSC), in service, contract operated","U.S. PACIFIC FLEET","01/17/2006","","","","Strategic Sealift Force","","","","","","","","11/20/1985","11/20/1985","","","674 ft","627 ft","108 ft","106 ft","25 ft","32 ft","19602 tons","46111 tons","26509 tons","Steel hull, steel superstructure.","1","","Diesel Electric","8","25","MILITARY SEALIFT COMMAND","","","","","06/13/2022"
"AK 3015","1ST LT HARRY L MARTIN","1ST LT HARRY L MARTIN (AK 3015)","(ex - TARAGO)","CARGO SHIP","AK 3015","23005","Stricken, Final Disposition Pending","","12/30/2021","","X","","","BREMEN-VEGESACK,","","","","","","","01/01/1980","01/01/1980","12/30/2021","12/30/2021","754 ft","721 ft","106 ft","106 ft","34 ft","36 ft","28013 tons","51648 tons","23635 tons","Steel hull, steel superstructure.","1","","Diesel Electric","9","15","MILITARY SEALIFT COMMAND","","","","","06/13/2022"
"T-AK 3011","1ST LT JACK LUMMUS","USNS 1ST LT JACK LUMMUS (T-AK 3011)","","CARGO SHIP","AK 3008","21633","Military Sealift Command (MSC), in service, contract operated","U.S. PACIFIC FLEET","01/17/2006","","","","Strategic Sealift Force","","","","","","","","03/06/1986","03/06/1986","","","674 ft","627 ft","108 ft","106 ft","25 ft","32 ft","19588 tons","46111 tons","26523 tons","Steel hull, steel superstructure.","1","","Diesel Electric","8","25","MILITARY SEALIFT COMMAND","","","","","06/13/2022"
"T-AK 3008","2ND LT JOHN P BOBO","USNS 2ND LT JOHN P BOBO (T-AK 3008)","","CARGO SHIP","AK 3008","21629","Military Sealift Command (MSC), in service, contract operated","U.S. ATLANTIC FLEET","01/16/2007","","","","Strategic Sealift Force","Kaiser Co., Inc., Swan Island","","","","","","","02/14/1985","02/14/1985","","","674 ft","627 ft","108 ft","106 ft","25 ft","32 ft","19602 tons","46111 tons","26509 tons","Steel hull, steel superstructure.","1","","Diesel Electric","8","25","MILITARY SEALIFT COMMAND","","","","","06/13/2022"
"AK 4638","A1C WILLIAM H PITSENBARGER","A1C WILLIAM H PITSENBARGER (AK 4638)","","CARGO SHIP","AK 4638","23518","Disposed of by return to owner","","08/29/2008","","","","","","","","","","","","","","","","620 ft","","106 ft","","37 ft","","","31986 tons","","","","","","","","","","","","","02/16/2011"
"AW 4","ABATAN","ABATAN (AW 4)","(ex - MC 1827)","DISTILLING SHIP","AW 3","04842","Disposed of in support of Fleet training exercise","","03/01/1980","","","","","","","","","","","","","","","05/01/1970","","","","","","","","","","","","","","","","US NAVY","","","","","01/02/2002"
"DD 629","ABBOT","ABBOT (DD 629)","","DESTROYER","DD 448","04029","Disposed of, by Navy Sale","","08/01/1975","","","","","","","","","","","","","","","12/01/1974","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/17/2001"
"AFDL 7","ABILITY","ABILITY (AFDL 7)","(ex - AFD 7)","SMALL AUXILIARY FLOATING DRY DOCK (N-S-P)","AFDL 7","14807","Disposed of, by Navy Sale","","07/01/1982","","","","","Chicago Bridge & Iron Co.","","","","","","","","","","","","","","","","","","","","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","09/08/2000"
"YTM 493","ABINAGO","ABINAGO (YTM 493)","(ex - YTB 493)","MEDIUM HARBOR TUG (S-P)","YTM 192","13393","Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.","","08/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","07/08/2010"
